a_1	a_2	luminosity_distance	ra	dec	cos_theta_jn	cos_tilt_1	cos_tilt_2	mass_1	mass_2	tilt_1	tilt_2	theta_jn	chirp_mass	total_mass	symmetric_mass_ratio	mass_ratio	log_likelihood	inverted_mass_ratio	redshift	comoving_distance	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source
2.185398698787249239e-01	5.163659566732948791e-01	1.126074963742433511e+03	6.962163417286749700e-01	-1.002276901890326588e+00	-9.500960797658973833e-01	-3.502057992768980443e-01	-8.091191666298570839e-02	4.013398094025703244e+01	2.690510071953339732e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.824340069977957057e+00	2.849328394964271993e+01	6.703908165979042622e+01	2.402651320646039534e-01	6.703820575283575556e-01	0.000000000000000000e+00	1.491686701292269213e+00	2.201311084274888696e-01	9.229051993556792013e+02	3.289317079373700636e+01	2.205099151533709190e+01	5.494416230907409471e+01	2.335264116523101308e+01
3.761676385442700582e-02	2.902548566576665934e-01	9.419010295749544639e+02	2.301206568937983754e-01	-6.195519031371720109e-01	-8.833532507649872745e-01	-7.712182010453572101e-01	-8.293091952337497963e-01	3.776364631067038857e+01	2.836912442659515676e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.653765239814674270e+00	2.843600411601687128e+01	6.613277073726554534e+01	2.449550608021383580e-01	7.512284219911057326e-01	0.000000000000000000e+00	1.331153043104430944e+00	1.876017817788059039e-01	7.931062471475596567e+02	3.179823985621467841e+01	2.388774154927883586e+01	5.568598140549351427e+01	2.394405646093343165e+01
1.928607813568089524e-01	7.090927044398601664e-01	9.154741592483107979e+02	2.406369758417010729e-01	-6.606038983736040038e-01	-7.442351500590351776e-01	2.020495129461895856e-01	1.569477519771702856e-01	4.772746465014813566e+01	2.457416258638604845e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.410185310093501787e+00	2.949297894808403342e+01	7.230162723653418766e+01	2.243628502214968790e-01	5.148851456183473063e-01	0.000000000000000000e+00	1.942180714495186589e+00	1.828502129160256007e-01	7.739535167009890984e+02	4.034954225733098809e+01	2.077537994079952810e+01	6.112492219813051975e+01	2.493382393310507439e+01
4.509096771648622437e-01	5.798187651187072800e-03	6.452043366187299398e+02	3.509624056044948759e-01	-4.886439063181794440e-01	-6.203000511313730425e-02	4.026794290183788316e-01	2.791615051028455141e-02	3.862727146865287864e+01	3.172461990141066579e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.632866179973656795e+00	3.044522023398846855e+01	7.035189137006354088e+01	2.475933088749326105e-01	8.213010832814346962e-01	0.000000000000000000e+00	1.217580276412871365e+00	1.328718914713166721e-01	5.695270496465610677e+02	3.409676924589039970e+01	2.800371351804689368e+01	6.210048276393729338e+01	2.687437164183476668e+01
7.191346372101862228e-01	7.788179567710948881e-01	1.286969311895493775e+03	2.333117501980088160e-01	-3.222453097437035785e-01	-9.309134716559154255e-01	6.930102909153679214e-01	-8.608341974028151933e-01	4.350109634903810729e+01	2.818532804224272681e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.767702271810193349e+00	3.034076970184809952e+01	7.168642439128083765e+01	2.385884734150802988e-01	6.479222458232586357e-01	0.000000000000000000e+00	1.543395070081884146e+00	2.477768201814229687e-01	1.031404979517621769e+03	3.486288224420868431e+01	2.258843695953950004e+01	5.745131920374819146e+01	2.431586258946262902e+01
1.208033142916218189e-01	3.528934927795129295e-01	1.275352478691539091e+03	2.644400584362239237e-01	-5.000667939600215162e-01	-9.640577135752779192e-01	-8.583304317432317587e-01	8.719689374952398486e-01	3.871525523067458607e+01	3.184126436059038312e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.872670054279377716e+00	3.053627293778121299e+01	7.055651959126497275e+01	2.476270771901148693e-01	8.224474866786399829e-01	0.000000000000000000e+00	1.215883100376883075e+00	2.458024733615161161e-01	1.023711551330324028e+03	3.107655993506757852e+01	2.555883861321445139e+01	5.663539854828203346e+01	2.451132791170817882e+01
4.788945472143460447e-01	2.884038670872913213e-01	1.212844856583524461e+03	2.729815594401507894e-01	-4.163621581936881588e-01	-9.217756803601244719e-01	4.943889408121317497e-01	-4.657804481750172920e-01	4.108386071272815343e+01	2.948990395576614532e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.743431921581408695e+00	3.021886209654386590e+01	7.057376466849430585e+01	2.432529055269399554e-01	7.177977785965452551e-01	0.000000000000000000e+00	1.393150034477987687e+00	2.351247009381516595e-01	9.819564429447024168e+02	3.326292533986445932e+01	2.387605391857744053e+01	5.713897925844190695e+01	2.446624383237645617e+01
2.707496853375351842e-01	4.081816187822489561e-01	6.104122704039855307e+02	2.869886202495820493e-01	-5.294598072461328409e-01	-2.886646956489428706e-01	-4.447531243755450947e-01	3.252228453852173407e-01	4.160899257035061538e+01	2.670975544821049752e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.863628195418027156e+00	2.888060506547986606e+01	6.831874801856110935e+01	2.381098242334224735e-01	6.419226661893061570e-01	0.000000000000000000e+00	1.557820050094780528e+00	1.262390618762775640e-01	5.419898236003948568e+02	3.694508029319404585e+01	2.371588444438511445e+01	6.066096473757915675e+01	2.564340559931007490e+01
5.178214798496636462e-01	3.295890675328747577e-01	1.315274065279473234e+03	3.276916053162106102e-01	-2.887080077179587922e-01	-8.627539018530440140e-01	5.886324101101630957e-01	-1.696374343228198855e-01	3.621898652660770779e+01	3.454978513466974022e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.611487489624547464e+00	3.079361355335124983e+01	7.076877166127744090e+01	2.498609169615370051e-01	9.539136361335865955e-01	0.000000000000000000e+00	1.048312931192818542e+00	2.525712453424368009e-01	1.050052076669047892e+03	2.891570971414556723e+01	2.758308979480387180e+01	5.649879950894943192e+01	2.458432098601519300e+01
4.678219144705389465e-01	7.144020667727561946e-01	7.728520633221148728e+02	2.128009961585624055e-01	-5.684388541525322580e-01	-5.776928074314007233e-01	5.378592483328614726e-01	-1.078735933808913083e-01	3.668602920591374073e+01	3.382225653246589303e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.186695619675859792e+00	3.066012639240559778e+01	7.050828573837964086e+01	2.495875827915197409e-01	9.219383308732085336e-01	0.000000000000000000e+00	1.084671248078877159e+00	1.568033507315184094e-01	6.680905932543024619e+02	3.171328055258042511e+01	2.923768893915978140e+01	6.095096949174021717e+01	2.650418186722686897e+01
7.975934082467122099e-01	6.468166071733628675e-01	9.949348374376829724e+02	3.722271255332218476e-01	-4.869085400863408242e-01	-9.715788236109820231e-01	2.805540639804799952e-01	-6.818967785709849627e-01	4.500363430135701748e+01	2.511622836755994470e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.902607995698895049e+00	2.902371459248413643e+01	7.011986266891696573e+01	2.298899026979445148e-01	5.580933352932032632e-01	0.000000000000000000e+00	1.791814982837295567e+00	1.970730298166525063e-01	8.311364771386273560e+02	3.759472745639413205e+01	2.098136683557796545e+01	5.857609429197209749e+01	2.424556720397376353e+01
4.156050667787300479e-01	3.957779547889493377e-01	6.703132737713823417e+02	3.871791178667142730e-01	-3.605463827919068165e-01	-2.867714740669330409e-01	-5.467768448175013285e-01	3.157763770533456027e-01	3.533634667675882923e+01	3.164371745342952380e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.861651384276647780e+00	2.910156704369634184e+01	6.698006413018835303e+01	2.492401632488003282e-01	8.955005378142841810e-01	0.000000000000000000e+00	1.116693913373604019e+00	1.376286257090661713e-01	5.892168075646223997e+02	3.106140780760877362e+01	2.781550739698246133e+01	5.887691520459123495e+01	2.558090257755054964e+01
2.085142706781067390e-01	6.978690110164562643e-01	8.779945102759323845e+02	2.349501234006039496e-01	-5.091140164896394982e-01	-7.571824507034027318e-01	-2.193171472734920802e-01	3.782698270006933927e-01	4.552579193079593267e+01	2.490343619508069040e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.429785157290932585e+00	2.905089288551903337e+01	7.042922812587661952e+01	2.285656311696571685e-01	5.470181876887847405e-01	0.000000000000000000e+00	1.828092781019066138e+00	1.760713867248272779e-01	7.465441964054048185e+02	3.871005828785449410e+01	2.117510592994938534e+01	5.988516421780387589e+01	2.470164074514317676e+01
1.157534154678586530e-01	5.718358504134866127e-01	7.701204130758579822e+02	2.345596040442532726e-01	-5.463013762277587615e-01	-5.478176393588678472e-01	-1.249273756329053603e-01	-2.028306714100205910e-01	3.886620572592381251e+01	2.816920931485102031e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.150549715938386619e+00	2.873076703794558640e+01	6.703541504077483637e+01	2.436341690165992058e-01	7.247738437215680563e-01	0.000000000000000000e+00	1.379740740732586124e+00	1.562979104934849039e-01	6.660217361410254853e+02	3.361262298687064742e+01	2.436154995975817528e+01	5.797417294662882625e+01	2.484720138055413940e+01
